AKT3	RGS7
AKTIP	COTL1
ALAS1	HHEX
ALAS1	PARP3
ALAS1	RBM6
ALB	ARFGEF2
ALB	DDX21
ALB	EXOSC9
ALB	FOXP1
ALB	PLEKHA5
ALB	SEC63
ALB	SIAE
ALB	SQSTM1
ALB	TLN1
ALB	UBAC1
ALCAM	EIF2A
ALCAM	EPHA6
ALCAM	NRROS
ALCAM	SH3KBP1
ALCAM	YIF1B
ALDH18A1	PDLIM1
ALDH1A1	FXYD1
ALDH1A1	TYK2
ALDH1A3	IGF1R
ALDH1A3	USP25
ALDH1A3	VPS53
ALDH1L1	SLC41A3
ALDH2	ACTB
ALDH2	ATXN2
ALDH2	LIN7A
ALDH2	LRBA
ALDH3A1	MYH9
ALDH3A1	NF1
ALDH3A1	ULK2
ALDH3A2	EIF5A
ALDH3A2	IFNK
ALDH3A2	PITPNM2
ALDH3A2	SLC47A1
ALDH3B1	PC
ALDH3B2	PLAAT3
ALDH3B2	TENM4
ALDH5A1	MAP3K5
ALDH7A1	PIP
ALDH8A1	PPM1H
ALDH9A1	MGST3
ALDH9A1	NME7
ALDH9A1	TMCO1
ALDOA	ANKS1A
ALDOA	ARFGEF2
ALDOA	ASPHD1
ALDOA	CCT5
ALDOA	COL1A1
ALDOA	DDX27
ALDOA	DDX54
ALDOA	FADS2
ALDOA	INTS9
ALDOA	MPHOSPH8
ALDOA	NDUFV1
ALDOA	PANK2
ALDOA	RPL7A
ALDOA	SCN2A
ALDOA	SIAE
ALDOA	SLC1A3
ALDOB	C3
ALDOC	KIF3A
ALDOC	MAN1A2
ALG1	SEC14L5
ALG10	IGFBP6
ALG10B	IGFBP6
ALG11	JPH3
ALG11	ZFYVE28
ALG12	CDT1
ALG12	DENND6B
ALG12	IL17REL
ALG12	ZBED4
ALG14	C1ORF194
ALG14	C1orf194
ALG14	HACD1
ALG14	JAK1
ALG14	NRDC
ALG5	GALNT17
ALG5	PIGU
ALG6	BMPR1B
ALG6	DUT
ALG6	SLC22A15
ALG6	UBE2U
ALG8	FGF19
ALG8	KHDC1
ALG8	NARS2
ALG8	OXA1L
ALG8	SNX29
ALG8	TENM4
ALG8	USP32
ALG9	PDGFD
ALK	GALNT14
ALK	PTPN3
ALK	SCEL
ALK	STK39
ALKBH3	ANO3
ALKBH3	TCIRG1
ALKBH5	GID4
ALKBH5	MYO15A
ALKBH5	NUF2
ALKBH8	C11orf65
ALMS1	TNC
ALPK1	GALNTL6
ALPK1	NAA15
ALPL	EIF4G3
ALPL	FILIP1L
ALX4	LMX1A
ALX4	STK33
ALYREF	CCDC57
