FUS	CREB3L1
FUS	CREB3L2
FUS	DDIT3
FUS	ERG
FUS	FEV
FXYD6	MLL
FYTTD1	WRN
FZD6	SDC2
GAB2	NARS2
GABRR2	ME1
GALNT7	ORC4
GAPDH	BCL6
GAPDH	KRT13
GAPDH	MRPS18B
GAS5	BCL6
GATA2	HOXA9
GATAD2B	NUP210L
GATAD2B	PRKAB2
GCN1L1	MSI1
GCN1L1	PLA2G1B
GEMIN7	SLC39A14
GIPC1	PKN1
GIT2	PDGFRB
GLB1	CMTM7
GLI3	FAM3B
GLIS2	PHF21A
GMPS	C3ORF55
GNA12	SHANK2
GNB1	TRH
GNB2	CTSD
GNG10	UGCG
GOLGA4	PDGFRB
GOLGA5	RET
GOLGB1	ILDR1
GOLPH3L	CTSS
GOPC	ROS1
GPAA1	CD24
GPATCH3	CAMTA1
GPATCH8	C8ORF46
GPN1	KLHL29
GPR107	C2ORF28
GPR160	NCEH1
GPR39	MGAT5
GPS2	MPP2
GRB10	SDK1
GRHPR	BCL6
GRIP1	TNIP1
GSDMC	PVT1
GSK3B	IMPG2
GTF2I	NCOA2
GTF2I	PGPEP1
H19	CALR
H1F0	ACTB
HAS2	PLAG1
HCN1	FUNDC2P2
HDAC8	CITED1
HDGF	S100A10
HEATR5A	COL1A1
HERPUD1	ERG
HERVK17	ETV1
HERVK22Q11	ETV1
HERVK	FGFR1
HEY1	NCOA2
HIP1	PDGFRB
HIST1H4I	BCL6
HJURP	EIF4E2
HLA-DOA	MUC21
HLTF	OTOL1
HMCN1	ETNK1
HMGA1	LAMA4
HMGA2	CCNB1IP1
HMGA2	COG5
HMGA2	COX6C
HMGA2	CXCR7
HMGA2	EBF1
HMGA2	EFCAB6
HMGA2	FHIT
HMGA2	LHFP
HMGA2	LPP
HMGA2	NFIB
HMGA2	RAD51L1
HMGA2	WIF1
HMGN2P46	MYC
HMGN3	PAQR8
HMGXB3	PPARGC1B
HN1	USH1G
HNRNPA2B1	ETV1
HNRNPH1	VAPA
HNRNPUL2	AHNAK
HOOK3	RET
HPS5	APOO
HSP90AA1	BCL6
HSP90AB1	PCGF2
HSPE1	PREI3
HTATIP2	CA1
HYOU1	C11ORF93
ID4	FAM84A
IER3IP1	HDHD2
IFI27	CPNE3
IGF2	CTNNA3
IGFBP5	AMD1
IGH@	BACH2
IGH@	BCL10
IGH@	BCL11A
IGH@	BCL2
IGH@	BCL3
IGH@	BCL6
IGH@	BCL9
IGH@	CBFA2T3
IGH@	CCND1
IGH@	CCND2
IGH@	CCND3
IGH@	CCNE1
IGH@	CD44
IGH@	CDK6
IGH@	CEBPA
IGH@	CEBPB
IGH@	CEBPD
IGH@	CEBPE
IGH@	CEBPG
IGH@	CHST11
IGH@	CNN3
IGH@	CRLF2
IGH@	DDX6
IGH@	EPOR
IGH@	ERVWE1
IGH@	ETV6
IGH@	FCGR2B
IGH@	FCRL4
IGH@	FGFR3
IGH@	FOXP1
IGH@	GPR34
IGH@	ID4
IGH@	IGL@
IGH@	IL3
IGH@	IRF4
IGH@	KDM4C
IGH@	LHX2
IGH@	LHX4
IGH@	MAF
IGH@	MAFB
IGH@	MALT1
IGH@	MIR125B1
IGH@	MUC1
IGH@	MYC
IGH@	MYCN
IGH@	NBEAP1
IGH@	NFKB2
IGH@	ODZ2
IGH@	PAFAH1B2
IGH@	PAX5
IGH@	PCSK7
IGH@	RHOH
IGH@	SPIB
IGH@	TERT
IGH@	TRA@
IGH@	TRD@
IGH@	WHSC1
IGK@	BCL10
IGK@	BCL2
IGK@	BCL3
IGK@	BCL6
IGK@	CCND1
IGK@	CCND2
IGK@	CDK6
IGK@	KDSR
IGK@	MYC
IGK@	PVT1
IGK@	ZC3H12D
IGL@	BCL2
IGL@	BCL3
IGL@	BCL6
IGL@	BCL9
IGL@	CCND1
IGL@	CCND2
IGL@	CCND3
IGL@	CDK6
IGL@	IRF4
IGL@	MAF
IGL@	MYC
IGL@	PRDM16
IGL@	PVT1
IGL@	REL
IGSF3	MAN1A2
IKZF1	BCL6
IKZF1	PRDM16
IKZF2	BCL11B
